race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male
0,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.7357323083019981,1,1,0,0,1,0,0,1
0,-0.1619980010087828,-0.19550996974641835,1.7031246403801468,0.059688926831567596,1,0,0,1,1,0,0,1
0,-0.1619980010087828,1.7853571042906047,-0.22760651876048046,-0.5368769995186067,0,0,0,1,1,0,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,2.048242014665482,1,1,0,0,1,0,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.7357323083019981,0,1,0,0,0,1,1,0
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.5368769995186067,1,0,0,1,1,0,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.7357323083019981,0,1,0,0,1,0,0,1
0,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.13916638195182382,1,0,0,1,0,1,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.7357323083019981,0,1,0,0,0,1,1,0
0,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.7357323083019981,0,1,0,0,1,0,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.5368769995186067,1,0,1,0,1,0,1,0
0,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,0.6562548531817419,1,1,0,0,1,0,0,1
0,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.13916638195182382,0,1,0,0,1,0,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,0.45739954439835045,1,1,0,0,1,0,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,0.25854423561495904,1,1,0,0,1,0,0,1
0,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,1.8493867058820905,1,0,1,0,1,0,0,1
0,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.5368769995186067,1,0,0,1,1,0,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.7357323083019981,1,1,0,0,0,1,0,1
1,-0.1619980010087828,-0.19550996974641835,-0.22760651876048046,-0.7357323083019981,0,0,0,1,1,0,1,0
